1,R1,AB11
2,R2,AB10
3,R3,AB09
4,R4,DC07
5,R5,DC06
6,R6,DC03
7,R7,DC02
8,SW R1,DB10
9,SW R2,DB09
10,SW R3,DB05
11,SW R4,DB04
12,SW R5,DB02
13,SW R6,DB01
